city,run_timestamp,forecast_date,adjustment_applied,target,unit,uv_HLSTM_GRU,uv_GRU,uv_ANN,mv_HLSTM_GRU,mv_GRU,mv_ANN,ensemble_uv,ensemble_mv,ensemble_all
Mumbai,2026-06-17T15:46:08.885715,2026-06-17,False,PRmsl,Pa,100690.2648,100743.4038,100708.2841,100714.86,100679.8474,100779.9598,100713.9842,100724.889,100719.4366
Mumbai,2026-06-17T15:46:08.885715,2026-06-17,False,RH2m,%,71.904,69.7654,68.5817,74.6567,75.8065,68.378,70.0837,72.9471,71.5154
Mumbai,2026-06-17T15:46:08.885715,2026-06-17,False,TMP2m,C,31.0392,30.4658,30.2975,31.3187,30.2978,30.9019,30.6008,30.8395,30.7202
Mumbai,2026-06-17T16:49:52.927401,2026-06-17,False,PRmsl,Pa,100690.2648,100743.4038,100708.2841,100714.86,100679.8474,100779.9598,100713.9842,100724.889,100719.4366
Mumbai,2026-06-17T16:49:52.927401,2026-06-17,False,RH2m,%,71.904,69.7654,68.5817,74.6567,75.8065,68.378,70.0837,72.9471,71.5154
Mumbai,2026-06-17T16:49:52.927401,2026-06-17,False,TMP2m,C,31.0392,30.4658,30.2975,31.3187,30.2978,30.9019,30.6008,30.8395,30.7202
Mumbai,2026-06-19T12:42:18.281002,2026-06-19,False,PRmsl,Pa,100697.9276,100726.6825,100709.5929,100709.4557,100666.5543,100771.7669,100711.401,100715.9256,100713.6633
Mumbai,2026-06-19T12:42:18.281002,2026-06-19,False,RH2m,%,68.7862,66.3081,65.4749,71.1338,74.3501,65.5551,66.8564,70.3464,68.6014
Mumbai,2026-06-19T12:42:18.281002,2026-06-19,False,TMP2m,C,31.0932,30.4752,30.4728,31.4388,30.1994,30.9919,30.6804,30.8767,30.7786
Mumbai,2026-06-19T12:44:49.111745,2026-06-19,False,PRmsl,Pa,100697.9276,100726.6825,100709.5929,100709.4557,100666.5543,100771.7669,100711.401,100715.9256,100713.6633
Mumbai,2026-06-19T12:44:49.111745,2026-06-19,False,RH2m,%,68.7862,66.3081,65.4749,71.1338,74.3501,65.5551,66.8564,70.3464,68.6014
Mumbai,2026-06-19T12:44:49.111745,2026-06-19,False,TMP2m,C,31.0932,30.4752,30.4728,31.4388,30.1994,30.9919,30.6804,30.8767,30.7786
Mumbai,2026-06-19T16:04:16.986786,2026-06-19,False,PRmsl,Pa,100697.9276,100726.6825,100709.5929,100709.4557,100666.5543,100771.7669,100711.401,100715.9256,100713.6633
