city,run_timestamp,forecast_date,adjustment_applied,target,unit,uv_HLSTM_GRU,uv_GRU,uv_ANN,mv_HLSTM_GRU,mv_GRU,mv_ANN,ensemble_uv,ensemble_mv,ensemble_all
Delhi,2026-06-17T15:50:07.060714,2026-06-17,False,PRmsl,Pa,100213.2854,100297.0231,100270.2798,100193.8462,100283.9953,100326.2405,100260.1961,100268.0273,100264.1117
Delhi,2026-06-17T15:50:07.060714,2026-06-17,False,RH2m,%,60.173,65.1823,65.2852,65.3238,65.7842,64.8808,63.5469,65.3296,64.4382
Delhi,2026-06-17T15:50:07.060714,2026-06-17,False,TMP2m,C,30.1362,29.6267,29.6303,30.1926,28.9009,28.8016,29.7977,29.2984,29.548
Delhi,2026-06-17T16:53:24.695477,2026-06-17,False,PRmsl,Pa,100213.2854,100297.0231,100270.2798,100193.8462,100283.9953,100326.2405,100260.1961,100268.0273,100264.1117
Delhi,2026-06-17T16:53:24.695477,2026-06-17,False,RH2m,%,60.173,65.1823,65.2852,65.3238,65.7842,64.8808,63.5469,65.3296,64.4382
Delhi,2026-06-17T16:53:24.695477,2026-06-17,False,TMP2m,C,30.1362,29.6267,29.6303,30.1926,28.9009,28.8016,29.7977,29.2984,29.548
Delhi,2026-06-19T12:42:53.003010,2026-06-19,False,PRmsl,Pa,100071.6544,100130.7882,100101.4585,100088.8606,100109.3581,100104.6205,100101.3004,100100.9464,100101.1234
Delhi,2026-06-19T12:42:53.003010,2026-06-19,False,RH2m,%,43.6942,46.5171,43.2644,41.6629,44.3819,42.4397,44.4919,42.8282,43.66
Delhi,2026-06-19T12:42:53.003010,2026-06-19,False,TMP2m,C,34.5401,32.898,34.2345,34.8412,33.375,33.5726,33.8908,33.9296,33.9102
Delhi,2026-06-19T12:45:21.798172,2026-06-19,False,PRmsl,Pa,100071.6544,100130.7882,100101.4585,100088.8606,100109.3581,100104.6205,100101.3004,100100.9464,100101.1234
Delhi,2026-06-19T12:45:21.798172,2026-06-19,False,RH2m,%,43.6942,46.5171,43.2644,41.6629,44.3819,42.4397,44.4919,42.8282,43.66
Delhi,2026-06-19T12:45:21.798172,2026-06-19,False,TMP2m,C,34.5401,32.898,34.2345,34.8412,33.375,33.5726,33.8908,33.9296,33.9102
Delhi,2026-06-19T16:04:46.756217,2026-06-19,False,PRmsl,Pa,100071.6544,100130.7882,100101.4585,100088.8606,100109.3581,100104.6205,100101.3004,100100.9464,100101.1234
Delhi,2026-06-19T16:04:46.756217,2026-06-19,False,RH2m,%,43.6942,46.5171,43.2644,41.6629,44.3819,42.4397,44.4919,42.8282,43.66
Delhi,2026-06-19T16:04:46.756217,2026-06-19,False,TMP2m,C,34.5401,32.898,34.2345,34.8412,33.375,33.5726,33.8908,33.9296,33.9102
Delhi,2026-06-19T16:08:11.176462,2026-06-19,False,PRmsl,Pa,100071.6544,100130.7882,100101.4585,100088.8606,100109.3581,100104.6205,100101.3004,100100.9464,100101.1234
Delhi,2026-06-19T16:08:11.176462,2026-06-19,False,RH2m,%,43.6942,46.5171,43.2644,41.6629,44.3819,42.4397,44.4919,42.8282,43.66
Delhi,2026-06-19T16:08:11.176462,2026-06-19,False,TMP2m,C,34.5401,32.898,34.2345,34.8412,33.375,33.5726,33.8908,33.9296,33.9102
Delhi,2026-06-19T16:12:24.624530,2026-06-19,False,PRmsl,Pa,100071.6544,100130.7882,100101.4585,100088.8606,100109.3581,100104.6205,100101.3004,100100.9464,100101.1234
Delhi,2026-06-19T16:12:24.624530,2026-06-19,False,RH2m,%,43.6942,46.5171,43.2644,41.6629,44.3819,42.4397,44.4919,42.8282,43.66
Delhi,2026-06-19T16:12:24.624530,2026-06-19,False,TMP2m,C,34.5401,32.898,34.2345,34.8412,33.375,33.5726,33.8908,33.9296,33.9102
Delhi,2026-06-24T09:38:10.447648,2026-06-24,False,PRmsl,Pa,99971.8746,99916.9624,99917.6072,99966.6154,99999.3557,99958.6844,99935.4814,99974.8852,99955.1833
Delhi,2026-06-24T09:38:10.447648,2026-06-24,False,RH2m,%,50.6576,47.8693,43.0007,42.3376,44.4509,44.8574,47.1759,43.882,45.5289
Delhi,2026-06-24T09:38:10.447648,2026-06-24,False,TMP2m,C,32.379,31.6508,33.526,33.5343,32.5362,33.8541,32.5186,33.3082,32.9134
Delhi,2026-06-25T06:16:33.820550,2026-06-25,False,PRmsl,Pa,99977.9197,99970.1472,99932.5272,100017.6621,100092.8504,99963.0954,99960.198,100024.536,99992.367
Delhi,2026-06-25T06:16:33.820550,2026-06-25,False,RH2m,%,55.9701,53.5826,49.3234,46.983,48.9478,48.8836,52.9587,48.2714,50.6151
Delhi,2026-06-25T06:16:33.820550,2026-06-25,False,TMP2m,C,31.7252,31.2009,32.7515,32.7449,32.02,33.119,31.8925,32.6279,32.2602
Delhi,2026-06-26T06:18:15.772175,2026-06-26,False,PRmsl,Pa,100024.4034,100016.6862,100001.3579,100041.8722,100107.4677,100036.964,100014.1492,100062.1013,100038.1252
Delhi,2026-06-26T06:18:15.772175,2026-06-26,False,RH2m,%,53.3854,49.8773,47.1177,44.9724,46.8272,45.2934,50.1268,45.6977,47.9122
Delhi,2026-06-26T06:18:15.772175,2026-06-26,False,TMP2m,C,33.3905,32.3348,34.3621,33.8496,32.8766,33.4157,33.3625,33.3806,33.3716
Delhi,2026-06-27T06:21:04.716272,2026-06-27,True,PRmsl,Pa,100059.5453,100166.7953,100207.3095,100030.5789,100120.5541,100058.4248,100144.55,100069.8526,100107.2013
Delhi,2026-06-27T06:21:04.716272,2026-06-27,True,RH2m,%,52.413,48.0464,46.4633,43.4333,45.7369,45.3483,48.9742,44.8395,46.9069
Delhi,2026-06-27T06:21:04.716272,2026-06-27,True,TMP2m,C,34.2938,33.1763,34.4074,34.82,33.7321,33.7814,33.9592,34.1112,34.0352
Delhi,2026-06-28T06:21:20.794272,2026-06-28,True,PRmsl,Pa,100019.0771,100094.6994,100137.5088,99958.0659,100025.7632,100001.0139,100083.7617,99994.9476,100039.3547
Delhi,2026-06-28T06:21:20.794272,2026-06-28,True,RH2m,%,53.3435,49.5745,44.8335,44.8023,47.6045,47.6925,49.2505,46.6998,47.9751
Delhi,2026-06-28T06:21:20.794272,2026-06-28,True,TMP2m,C,34.5432,33.4606,34.7462,34.5707,33.465,33.2502,34.25,33.762,34.006
Delhi,2026-06-29T06:19:29.304981,2026-06-29,False,PRmsl,Pa,99983.3462,99994.3854,100026.3865,99849.9991,99855.5774,99879.7557,100001.3727,99861.7774,99931.5751
Delhi,2026-06-29T06:19:29.304981,2026-06-29,False,RH2m,%,51.1291,46.9596,38.5248,42.9143,44.9793,43.7048,45.5378,43.8661,44.702
Delhi,2026-06-29T06:19:29.304981,2026-06-29,False,TMP2m,C,35.3684,34.0096,35.5488,35.3151,34.1403,33.9998,34.9756,34.485,34.7303
Delhi,2026-06-30T06:19:32.366252,2026-06-30,True,PRmsl,Pa,99952.171,100021.9086,99947.1772,99821.3729,99828.6624,99822.413,99973.7523,99824.1494,99898.9509
Delhi,2026-06-30T06:19:32.366252,2026-06-30,True,RH2m,%,48.4184,44.1768,33.9649,40.1606,42.2967,40.4814,42.1867,40.9795,41.5831
Delhi,2026-06-30T06:19:32.366252,2026-06-30,True,TMP2m,C,35.7514,34.3835,35.7336,35.3829,34.2598,34.2461,35.2895,34.6296,34.9596
Delhi,2026-07-01T06:23:51.687960,2026-07-01,False,PRmsl,Pa,99903.2011,99845.6967,99888.9731,99864.0885,99914.6937,99903.4481,99879.2903,99894.0768,99886.6835
Delhi,2026-07-01T06:23:51.687960,2026-07-01,False,RH2m,%,59.5214,56.4645,54.9802,59.5279,63.5721,63.0677,56.9887,62.0559,59.5223
Delhi,2026-07-01T06:23:51.687960,2026-07-01,False,TMP2m,C,33.7129,33.2228,33.7085,33.546,32.8501,32.6693,33.5481,33.0218,33.2849
Delhi,2026-07-02T06:17:08.360696,2026-07-02,False,PRmsl,Pa,100018.9155,99940.9313,100031.5078,100023.3488,100069.6125,100039.8173,99997.1182,100044.2595,100020.6889
Delhi,2026-07-02T06:17:08.360696,2026-07-02,False,RH2m,%,74.2433,74.7294,76.1003,73.9628,75.9766,75.4245,75.0244,75.1213,75.0728
Delhi,2026-07-02T06:17:08.360696,2026-07-02,False,TMP2m,C,30.6355,30.3273,30.3926,29.6141,28.6322,28.8272,30.4518,29.0245,29.7382
Delhi,2026-07-06T10:41:32.242971,2026-07-06,False,PRmsl,Pa,99935.2491,99863.6369,99931.1948,99883.8832,99875.4642,99870.8903,99910.0269,99876.7459,99893.3864
